Frame_Number;Time;Total_Angles_x;Total_Angles_y;isSaccade;isSaccadeLeftRight;isSaccaderRadial;Head_Rotation_x;Head_Rotation_y;Head_Position;messages;
1;0.000;70.47953;-19.52042;0;0;0;0;0;(0.0, 1.6, 0.0)
2;0.020;0;-35.91512;1;1;1;0;0;(0.0, 1.6, 0.0)SaccadeStart;
3;0.353;-3.997127;-35.00475;0;0;0;-14.28787;6.364838;(0.2, 1.6, -0.1)
4;0.569;-19.16948;-5.55516;1;0;1;-14.76993;-8.710556;(0.2, 1.6, 0.0)SaccadeStart;
5;0.705;-11.82834;-18.16729;0;0;1;3.158221;-8.198457;(0.3, 1.6, 0.1)
6;0.820;6.237775;-14.88942;1;1;1;0.09076982;-7.988375;(0.2, 1.6, -0.1)SaccadeStart;
7;0.900;1.284985;-16.31132;0;1;1;-17.69202;-7.804701;(0.2, 1.6, -0.1)
8;0.992;-12.61155;-12.15038;1;1;1;-17.3826;-7.860995;(0.2, 1.6, -0.1)SaccadeStart;
9;1.029;-12.42597;-12.13414;0;0;0;-17.23871;-7.683655;(0.2, 1.6, -0.1)
10;1.128;-12.37343;-12.45472;0;0;0;-17.16696;-7.449639;(0.2, 1.6, -0.1)
11;1.173;-12.30999;-12.30478;0;0;0;-17.13312;-7.391921;(0.2, 1.6, -0.1)
12;1.214;-12.24714;-12.28099;0;0;0;-17.2294;-7.378681;(0.2, 1.6, -0.1)
13;1.256;-12.26445;-12.26918;0;0;0;-17.31369;-7.385584;(0.2, 1.6, -0.1)
14;1.285;-12.49467;-12.03176;0;0;0;-17.32953;-7.410277;(0.2, 1.6, -0.1)
15;1.331;-12.54928;-11.9364;0;0;0;-17.30136;-7.419454;(0.2, 1.6, -0.1)
16;1.371;-12.65998;-11.66319;0;0;0;-17.18066;-7.271559;(0.2, 1.6, -0.1)
17;1.399;-12.78156;-11.54174;0;0;0;-17.07098;-7.087108;(0.2, 1.6, -0.1)
18;1.428;-12.82077;-11.34258;0;0;0;-17.05588;-6.950156;(0.2, 1.6, -0.1)
19;1.472;-12.85829;-11.2961;0;0;0;-17.05447;-6.833063;(0.2, 1.6, -0.1)
20;1.511;-12.86059;-11.22144;0;0;0;-17.07455;-6.706685;(0.2, 1.6, -0.1)
